Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",114.158000,-106.762000,90.000000,top
"C2","100 μF","C_0805_2012Metric",116.666000,-106.762000,90.000000,top
"C3","0.1uF","C_0805_2012Metric",174.070000,-127.082000,180.000000,top
"C4","0.47uF","C_0805_2012Metric",174.004000,-124.542000,0.000000,top
"C5","470nF","C_0805_2012Metric",180.674000,-116.414000,90.000000,top
"C6","2.2uF","C_0805_2012Metric",173.750000,-112.900000,0.000000,top
"C7","1uF","C_0805_2012Metric",168.482000,-115.398000,-90.000000,top
"R1","150k","R_0805_2012Metric",179.150000,-120.986000,90.000000,top
"R2","100k","R_0805_2012Metric",185.246000,-116.517500,90.000000,top
"R3","1K","R_0805_2012Metric",159.385000,-51.435000,-90.000000,top
"R4","1K","R_0805_2012Metric",151.765000,-51.435000,-90.000000,top
"R5","1K","R_0805_2012Metric",174.625000,-51.435000,-90.000000,top
"R6","1K","R_0805_2012Metric",167.005000,-51.435000,-90.000000,top
"R7","1K","R_0805_2012Metric",180.975000,-51.435000,-90.000000,top
"R8","1K","R_0805_2012Metric",187.325000,-51.435000,-90.000000,top
"U5","MAX9814ETD_T","SON40P300X300X80-15N",174.223000,-118.260000,-90.000000,top
